地名,センター,燃えるごみ,燃えないごみ,粗大ごみ,資源ごみ,危険ごみ
毛里田只上町1～2区(東新町の一部を含む),清掃センター,火 金,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
毛里田市場町1～2区(東新町の一部を含む),清掃センター,火 金,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
毛里田高瀬町,清掃センター,火 金,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
毛里田富若町(東新町の一部を含む),清掃センター,火 金,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
毛里田東今泉町,清掃センター,火 金,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
毛里田緑町,清掃センター,火 金,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
毛里田矢田掘町,清掃センター,火 金,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
毛里田吉沢町1～2区,清掃センター,火 金,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
毛里田丸山七日市,清掃センター,火 金,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
毛里田原宿町,清掃センター,火 金,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
